# Time [s]    Subject #    range [m]    bearing [rad] ,,,
1248272276,90,2.148,0.025
1248272277,14,3.387,0.006
1248272278,14,3.309,-0.015
1248272278,90,2.033,0.024
1248272278,14,3.272,-0.023
1248272279,90,1.946,0.04
1248272279,14,3.165,-0.051
1248272280,14,3.118,-0.07
1248272280,14,3.098,-0.076
1248272281,14,3.065,-0.08
1248272281,90,1.826,0.043
1248272281,14,3.065,-0.08
1248272281,90,1.826,0.043
1248272281,14,3.065,-0.08
1248272281,90,1.826,0.043
1248272281,14,3.011,-0.089
1248272281,90,1.782,0.058
1248272282,14,2.912,-0.121
1248272282,90,1.71,0.039
1248272283,90,1.677,-0.031
1248272283,14,2.793,-0.217
1248272283,90,1.645,-0.014
1248272284,90,1.597,-0.05
1248272285,90,1.512,-0.228
1248272285,18,2.876,0.301
1248272285,90,1.472,-0.281
1248272285,18,2.897,0.256
1248272285,90,1.435,-0.344
1248272285,18,2.912,0.196
1248272285,18,2.922,0.164
1248272286,18,2.871,0.168
1248272286,18,2.866,0.17
1248272287,18,2.841,0.173
1248272287,18,2.819,0.174
1248272287,90,1.256,-0.447
1248272287,18,2.8,0.177
1248272288,18,2.76,0.177
1248272288,18,2.729,0.178
1248272289,18,2.683,0.18
1248272289,18,2.673,0.175
1248272290,18,2.642,0.184
1248272290,18,2.557,0.276
1248272290,18,2.56,0.269
1248272290,18,2.552,0.272
1248272291,18,2.53,0.272
1248272291,18,2.513,0.293
1248272291,18,2.43,0.373
1248272291,18,2.411,0.415
1248272292,18,2.372,0.417
1248272297,81,3.69,-0.224
1248272297,81,3.738,-0.107
1248272297,14,1.814,-0.21
1248272298,14,1.823,-0.124
1248272298,81,3.738,0.035
1248272298,14,1.828,-0.087
1248272298,14,1.814,-0.038
1248272299,14,1.761,0.142
1248272299,14,1.731,0.184
1248272299,14,1.691,0.241
1248272300,9,2.926,-0.001
1248272300,25,3.838,-0.309
1248272300,14,1.648,0.303
1248272300,41,4.364,-0.034
1248272300,9,2.912,0.082
1248272300,25,3.89,-0.241
1248272300,9,2.909,0.091
1248272301,41,4.364,0.003
1248272301,14,1.572,0.367
1248272301,41,4.311,0.005
1248272301,14,1.568,0.35
1248272301,41,4.298,0.015
1248272301,14,1.543,0.344
1248272302,41,4.364,0.017
1248272302,61,5.062,0.069
1248272302,14,1.539,0.334
1248272302,25,3.838,-0.234
1248272302,41,4.298,0.016
1248272302,61,5.062,0.065
1248272302,9,2.855,0.108
1248272302,14,1.526,0.329
1248272302,25,3.801,-0.238
1248272302,72,8.21,-0.19
1248272302,41,4.298,0.02
1248272302,61,5.062,0.066
1248272302,9,2.841,0.101
1248272302,61,5.062,0.064
1248272303,25,3.812,-0.242
1248272303,41,4.235,0.027
1248272303,61,5.062,0.064
1248272303,9,2.837,0.101
1248272303,14,1.497,0.306
1248272303,25,3.793,-0.241
1248272303,41,4.235,0.034
1248272303,61,5.035,0.066
1248272303,9,2.82,0.103
1248272303,14,1.466,0.292
