Time,X,Y,Orientation
1248272263,3.5732236999999993,-3.3328805750000003,2.3409250000000004
1248272264,3.5732326000000003,-3.332871997435897,2.3408769230769226
1248272265,3.5732434274999996,-3.3328823575,2.340865
1248272266,3.5732337696969694,-3.3328779393939403,2.3409272727272716
1248272267,3.573246962162162,-3.3328735783783783,2.340962162162162
1248272268,3.5732558235294114,-3.3328666823529405,2.3409941176470586
1248272269,3.5732467108108112,-3.3328821378378377,2.3409756756756748
1248272270,3.573248788888888,-3.3328868833333334,2.3409305555555555
1248272271,3.573247600000001,-3.332885378378379,2.340910810810811
1248272272,3.5732460735294116,-3.332889497058823,2.3409705882352934
1248272273,3.5718479294117658,-3.3314256499999995,2.3551147058823525
1248272274,3.536978393749999,-3.30113224375,2.498353125
1248272275,3.4820548333333323,-3.260875759259259,2.5215814814814816
1248272276,3.4263979482758624,-3.222115506896552,2.5200206896551727
1248272277,3.3729871571428576,-3.1845441214285706,2.5231642857142864
1248272278,3.3136993962962973,-3.143735262962963,2.5265851851851853
1248272279,3.2607395749999997,-3.1065983571428575,2.526175
1248272280,3.20675562962963,-3.067956574074074,2.5277185185185185
1248272281,3.148794412500001,-3.027030134375,2.5268406249999993
1248272282,3.092154732142858,-2.987272632142857,2.5320821428571425
1248272283,3.0396996291666665,-2.953077725,2.596733333333333
1248272284,2.979160852,-2.9180708799999997,2.663784
1248272285,2.920337113043478,-2.8942268130434776,2.892195652173913
1248272286,2.851086589285715,-2.8796905071428576,2.96054642857143
1248272287,2.786290718333333,-2.867625188333334,2.9594683333333336
1248272288,2.720427269811319,-2.8556749094339624,2.9567566037735844
1248272289,2.651620723809524,-2.843077776190477,2.9550206349206354
1248272290,2.5940444939393945,-2.8313080621212117,2.8797212121212112
1248272291,2.5449777176470594,-2.817245630882353,2.758194117647058
1248272292,2.511010251470589,-2.802517004411765,2.6705294117647065
1248272293,2.458487185,-2.7724854566666677,2.530536666666666
1248272294,2.4187734202898548,-2.742011208695651,2.425357971014492
1248272295,2.366532426315789,-2.6928613105263155,2.3318894736842104
1248272296,2.3203526853658536,-2.6438327634146344,2.2790560975609755
1248272297,2.297858375,-2.61607291,2.07037
1248272298,2.2863770333333333,-2.594085688888889,1.8009250000000003
1248272299,2.2821540777777773,-2.5607165000000003,1.5888600000000004
1248272300,2.283988852857144,-2.5359416271428583,1.372597142857143
1248272301,2.289452184269663,-2.5099540224719097,1.3260292134831462
1248272302,2.297195628571428,-2.4774177065934078,1.323750549450549
1248272303,2.304947486315789,-2.4445543768421056,1.3241147368421053
1248272304,2.311902149462364,-2.4114491225806454,1.3226376344086024
1248272305,2.3198695471910113,-2.377510812359551,1.3240483146067417
1248272306,2.32736544050633,-2.3448413151898735,1.3246924050632913
1248272307,2.342312510294118,-2.2845304705882357,1.330285294117647
1248272308,2.3574754034482757,-2.2247871120689653,1.380263793103448
1248272309,2.3665436200000003,-2.1626764116666664,1.5070783333333333
1248272310,2.3690372194029843,-2.119443888059701,1.5506149253731345
1248272311,2.3681353625000003,-2.0553199140625007,1.6288359375
1248272312,2.3610161440677966,-1.9921844169491525,1.7293559322033898
1248272313,2.3486973349999998,-1.9296041116666671,1.8309783333333332
1248272314,2.33012879375,-1.8685086874999997,1.8996020833333331
1248272315,2.3043189558139527,-1.801412665116279,1.9717558139534888
