Time,Subject,Range,Bearing
1248272276,25,4.164,-0.262
1248272276,70,4.961,0.378
1248272276,9,2.717,-0.158
1248272276,70,4.961,0.394
1248272276,25,4.179,-0.244
1248272276,61,4.714,0.142
1248272276,25,4.164,-0.24
1248272276,54,6.72,0.254
1248272277,41,5.54,-0.034
1248272277,70,4.876,0.402
1248272277,41,5.54,-0.042
1248272277,70,4.841,0.4
1248272277,9,2.619,-0.161
1248272277,70,4.834,0.401
1248272277,41,5.434,-0.039
1248272277,70,4.831,0.403
1248272278,9,2.566,-0.17
1248272278,70,4.794,0.408
1248272278,70,4.781,0.409
1248272278,72,8.293,0.065
1248272278,70,4.781,0.409
1248272278,72,8.293,0.065
1248272278,70,4.781,0.409
1248272279,9,2.527,-0.101
1248272279,72,8.293,0.149
1248272279,70,4.492,0.5
1248272279,41,5.234,0.039
1248272279,61,4.422,0.24
1248272279,9,2.484,-0.08
1248272279,70,4.492,0.501
1248272280,41,5.14,0.042
1248272280,9,2.447,-0.079
1248272280,70,4.492,0.497
1248272280,41,5.049,0.114
1248272280,54,6.009,0.432
1248272281,54,6.139,0.437
1248272281,25,3.941,-0.082
1248272281,9,2.399,0.004
1248272281,41,4.961,0.119
1248272281,61,4.195,0.333
1248272281,25,3.94,-0.084
1248272281,9,2.387,0.006
1248272281,41,4.961,0.12
1248272281,61,4.18,0.338
1248272281,54,6.009,0.437
1248272282,25,3.935,-0.091
1248272282,9,2.362,0.005
1248272282,41,4.939,0.121
1248272282,61,4.195,0.329
1248272282,54,6.009,0.437
1248272282,25,3.935,-0.078
1248272282,9,2.349,0.009
1248272282,41,4.904,0.123
1248272282,72,7.834,0.241
1248272282,61,4.16,0.342
1248272282,25,3.935,-0.078
1248272282,9,2.349,0.009
1248272282,41,4.904,0.123
1248272282,72,7.834,0.241
1248272282,61,4.16,0.342
1248272282,25,3.935,-0.078
1248272282,9,2.349,0.009
1248272282,41,4.904,0.123
1248272282,72,7.834,0.241
1248272282,61,4.16,0.342
1248272282,25,3.935,0.006
1248272282,9,2.318,0.08
1248272282,61,3.99,0.42
1248272283,25,3.885,0.009
1248272283,9,2.285,0.095
1248272283,41,4.714,0.207
1248272283,72,7.692,0.33
1248272283,61,3.939,0.43
1248272283,25,3.881,0.011
1248272283,9,2.27,0.097
1248272283,41,4.714,0.209
1248272283,72,7.623,0.331
1248272283,27,7.623,0.417
1248272283,61,3.935,0.433
1248272283,25,3.829,0.009
1248272283,9,2.243,0.098
1248272283,41,4.714,0.209
1248272283,72,7.623,0.333
1248272283,27,7.424,0.416
1248272283,61,3.902,0.435
1248272284,25,3.779,0.01
1248272284,9,2.22,0.082
1248272284,9,2.178,0.162
1248272284,72,7.424,0.41
1248272284,61,3.729,0.509
1248272284,25,3.779,0.097
1248272284,9,2.152,0.189
1248272284,41,4.422,0.292
1248272284,72,7.234,0.42
1248272284,27,7.234,0.507
1248272285,25,3.759,0.097
1248272285,9,2.13,0.19
1248272285,41,4.422,0.292
1248272285,72,7.271,0.42
1248272285,27,7.234,0.511
1248272285,72,7.234,0.417
1248272285,27,7.143,0.509
1248272285,9,2.109,0.194
1248272285,72,7.424,0.422
1248272285,41,4.355,0.293
1248272285,27,7.234,0.512
1248272286,9,2.062,0.216
1248272286,72,7.143,0.459
1248272286,41,4.164,0.381
1248272286,41,4.104,0.391
1248272286,41,4.104,0.386
1248272287,25,3.551,0.2
1248272287,41,4.046,0.394
1248272287,41,4.046,0.39
1248272287,9,1.909,0.308
1248272287,41,3.99,0.395
1248272287,9,1.895,0.311
1248272288,9,1.814,0.393
1248272288,41,3.787,0.477
1248272288,9,1.794,0.4
1248272288,41,3.737,0.484
1248272288,41,3.693,0.49
1248272289,41,3.635,0.496
1248272289,41,3.594,0.5
1248272289,25,3.314,0.302
1248272289,41,3.567,0.505
1248272289,9,1.643,0.5
1248272290,9,1.616,0.501
1248272290,9,1.598,0.503
1248272290,9,1.59,0.505
1248272290,9,1.583,0.509
1248272291,9,1.564,0.511
1248272291,25,2.975,0.477
1248272291,25,2.959,0.48
1248272291,25,2.94,0.484
1248272292,25,2.927,0.49
1248272292,25,2.91,0.489
1248272292,25,2.883,0.494
1248272292,16,2.218,-0.559
1248272293,16,2.223,-0.541
1248272293,16,2.208,-0.545
1248272293,16,2.184,-0.546
1248272294,16,2.164,-0.549
1248272294,16,2.202,-0.508
1248272294,16,2.25,-0.481
1248272294,16,2.229,-0.471
1248272294,16,2.212,-0.465
1248272295,16,2.19,-0.477
1248272295,16,2.195,-0.464
1248272295,16,2.159,-0.487
1248272295,16,2.229,-0.409
1248272296,16,2.205,-0.402
1248272296,16,2.206,-0.398
1248272296,16,2.172,-0.405
1248272297,16,2.13,-0.413
1248272297,16,2.124,-0.413
1248272297,16,2.165,-0.357
1248272297,16,2.163,-0.333
1248272298,16,2.14,-0.334
1248272298,16,2.138,-0.334
1248272298,16,2.113,-0.34
1248272298,16,2.099,-0.339
1248272299,16,2.13,-0.265
1248272299,16,2.121,-0.262
1248272299,16,2.109,-0.261
1248272299,16,2.103,-0.259
1248272300,16,2.107,-0.244
1248272300,16,2.029,-0.268
1248272300,16,2.045,-0.208
1248272301,16,2.04,-0.185
1248272301,23,1.721,-0.561
1248272301,16,2.039,-0.184
1248272301,23,1.706,-0.564
1248272301,16,2.014,-0.186
1248272301,16,2.022,-0.189
1248272302,16,2.005,-0.19
1248272302,23,1.741,-0.554
1248272302,16,1.988,-0.166
1248272302,16,1.985,-0.132
1248272302,23,1.787,-0.503
1248272302,16,1.974,-0.11
1248272303,23,1.785,-0.507
1248272303,16,1.965,-0.114
1248272303,16,1.989,-0.09
1248272303,16,1.938,-0.112
1248272304,16,1.904,-0.11
1248272304,23,1.817,-0.509
1248272304,16,1.912,-0.113
1248272304,23,1.86,-0.443
1248272304,16,1.886,-0.054
1248272304,23,1.886,-0.417
1248272304,16,1.88,-0.026
1248272305,23,1.896,-0.416
1248272305,16,1.879,-0.024
1248272305,23,1.897,-0.412
1248272305,16,1.855,-0.023
1248272305,23,1.895,-0.411
1248272305,16,1.834,-0.022
1248272305,23,1.898,-0.409
1248272305,16,1.823,-0.021
1248272306,23,1.899,-0.41
1248272306,16,1.812,-0.023
1248272306,23,1.901,-0.411
1248272306,16,1.8,-0.024
1248272306,23,1.96,-0.336
1248272306,16,1.786,0.044
1248272306,23,1.965,-0.326
1248272306,16,1.774,0.052
1248272307,16,1.759,0.059
1248272307,16,1.74,0.06
1248272307,16,1.726,0.06
1248272307,16,1.724,0.015
1248272307,16,1.715,-0.017
1248272308,23,1.915,-0.427
1248272308,16,1.694,-0.063
1248272308,16,1.689,-0.109
1248272308,23,1.83,-0.524
1248272308,16,1.662,-0.167
1248272309,16,1.635,-0.22
1248272309,16,1.594,-0.278
1248272309,16,1.62,-0.283
1248272310,16,1.567,-0.313
1248272310,16,1.571,-0.314
1248272310,16,1.566,-0.314
1248272310,16,1.568,-0.314
1248272311,16,1.57,-0.311
1248272311,16,1.569,-0.305
1248272311,16,1.557,-0.312
1248272311,16,1.547,-0.312
1248272312,16,1.541,-0.315
1248272312,16,1.539,-0.318
1248272312,16,1.529,-0.322
1248272312,16,1.515,-0.318
1248272313,16,1.509,-0.324
1248272313,16,1.503,-0.318
1248272313,16,1.501,-0.314
1248272313,16,1.489,-0.326
1248272314,16,1.497,-0.271
1248272314,16,1.525,-0.192
1248272314,16,1.562,-0.037
1248272314,16,1.553,0.08
1248272315,16,1.525,0.203
1248272315,16,1.467,0.346
1248272315,16,1.469,0.353
1248272315,23,2.251,0.171
1248272315,16,1.475,0.352
1248272316,16,1.481,0.334
1248272316,23,2.271,0.143
1248272316,16,1.492,0.313
1248272316,23,2.281,0.148
1248272316,16,1.489,0.307
1248272316,16,1.461,0.369
1248272317,16,1.485,0.334
1248272317,16,1.522,0.247
1248272317,16,1.542,0.12
1248272317,16,1.564,-0.031
1248272318,16,1.547,-0.147
1248272318,23,2.13,-0.395
1248272318,16,1.476,-0.272
1248272318,23,2.011,-0.507
1248272318,16,1.412,-0.386
1248272318,16,1.371,-0.461
1248272319,16,1.281,-0.558
1248272320,25,2.362,0.511
1248272320,25,2.422,0.449
1248272321,72,6.72,0.374
1248272321,72,6.883,0.296
1248272321,61,3.307,0.504
1248272322,25,2.565,-0.133
1248272322,61,3.589,0.315
1248272322,9,1.325,0.459
1248272322,25,2.507,-0.215
1248272322,61,3.635,0.239
1248272322,9,1.358,0.386
1248272322,25,2.417,-0.334
1248272322,61,3.681,0.126
1248272322,9,1.394,0.281
1248272322,25,2.328,-0.419
1248272322,72,6.883,-0.295
1248272322,61,3.729,0.05
1248272322,9,1.411,0.197
1248272322,25,2.188,-0.544
1248272322,61,3.681,-0.07
1248272323,61,3.589,-0.152
1248272323,61,3.545,-0.229
1248272323,61,3.407,-0.356
1248272323,9,1.353,-0.202
1248272323,61,3.275,-0.436
1248272325,36,6.009,-0.186
1248272325,36,5.946,-0.194
1248272326,36,5.884,-0.199
1248272326,36,5.884,-0.201
1248272326,32,1.586,0.405
1248272326,41,3.226,-0.527
1248272326,36,5.884,-0.223
1248272326,32,1.594,0.409
1248272327,41,3.226,-0.53
1248272327,36,5.884,-0.231
1248272327,32,1.593,0.41
1248272327,32,1.591,0.406
1248272327,32,1.597,0.397
1248272327,32,1.612,0.378
1248272328,32,1.632,0.367
1248272328,32,1.649,0.347
1248272328,32,1.66,0.347
1248272328,36,5.715,-0.312
1248272328,32,1.668,0.353
1248272328,32,1.678,0.364
