Time,Forward-velocity,Angular-velocity
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.274
1248272276,0.076,0.272
1248272276,0.076,0.271
1248272276,0.076,0.268
1248272276,0.076,0.268
1248272276,0.076,0.264
1248272276,0.076,0.264
1248272276,0,0
1248272276,0,0
1248272276,0.075,0.259
1248272276,0.075,0.256
1248272276,0.075,0.255
1248272276,0.075,0.252
1248272276,0.075,0.252
1248272276,0.075,0.247
1248272276,0.075,0.247
1248272276,0.075,0.244
1248272276,0.075,0.243
1248272276,0.074,0.237
1248272276,0.074,0.237
1248272276,0.074,0.235
1248272276,0.074,0.235
1248272276,0.074,0.232
1248272276,0.074,0.232
1248272277,0.074,0.229
1248272277,0.074,0.229
1248272277,0.074,0.225
1248272277,0.074,0.225
1248272277,0.074,0.222
1248272277,0.074,0.222
1248272277,0.074,0.219
1248272277,0.074,0.219
1248272277,0.074,0.217
1248272277,0.074,0.216
1248272277,0.073,0.214
1248272277,0.073,0.214
1248272277,0.073,0.211
1248272277,0.066,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.065,0
1248272277,0.064,0
1248272277,0.064,0
1248272277,0.064,0
1248272277,0.064,0
1248272278,0.063,0
1248272278,0.063,0
1248272278,0.063,0
1248272278,0.063,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.062,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0,0
1248272278,0,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.061,0
1248272278,0.06,0
1248272278,0.06,0
1248272278,0.06,0
1248272278,0.06,0
1248272278,0.06,0
1248272278,0.06,0
1248272279,0.06,0
1248272279,0.059,0
1248272279,0.059,0
1248272279,0.059,0
1248272279,0.059,0
1248272279,0.059,0
1248272279,0.059,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.058,0
1248272279,0.057,0
1248272279,0,0
1248272279,0.057,0
1248272279,0.057,0
1248272279,0.057,0
1248272279,0.057,0
1248272279,0.057,0
1248272279,0.057,0
