Time,Forward-velocity,Angular-velocity
1248272274,0.086,-0.398
1248272274,0,0
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272274,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.086,-0.398
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0,0
1248272276,0,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0,0
1248272277,0,0
1248272277,0,0
1248272277,0,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
1248272277,0.067,0
